[root@factory-workspace glideinmonitor]# /usr/bin/python3 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/indexer.py
         4735832 function calls (4735735 primitive calls) in 62.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:928(fix_flags)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:2015(consume_positionals)
       28    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        8    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:619(isstring)
        5    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:1089(_init)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/posixpath.py:150(dirname)
        8    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/enum.py:670(__new__)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:906(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       17    0.000    0.000    0.000    0.000 {method '__exit__' of 'posix.ScandirIterator' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        6    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1367(_registry_get)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/os.py:758(decode)
       18    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:941(__init__)
        1    0.000    0.000    0.000    0.000 {method 'difference_update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
       33    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
        2    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        5    0.000    0.000    0.000    0.000 {method 'timestamp' of 'datetime.datetime' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       11    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:536(is_set)
        4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:76(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/types.py:171(__get__)
       13    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:203(__init__)
        3    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        8    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:169(__setitem__)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/queue.py:206(_init)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:584(format)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:516(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:1229(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:757(_newname)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:1358(current_thread)
        2    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:1147(daemon)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1580(_check_conflict)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:46(_ignore_error)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:785(<listcomp>)
        5    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/codecs.py:214(setstate)
        6    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        7    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:575(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:265(_release_save)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1816(_get_positional_actions)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/genericpath.py:87(samestat)
        6    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:477(_get_iscased)
        6    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/lib/config.py:79(db)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:268(_acquire_restore)
        7    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:2167(_match_arguments_partial)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/functools.py:65(wraps)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:81(_combine_flags)
        6    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:163(__delitem__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        1    0.000    0.000    0.000    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/lib/config.py:44(filters)
        2    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        3    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/enum.py:792(value)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 {method 'locked' of '_thread.lock' objects}
        4    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1817(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:613(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1295(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)

