[root@factory-workspace glideinmonitor]# /usr/bin/python3 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/indexer.py
         4735832 function calls (4735735 primitive calls) in 62.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5808    0.019    0.000    0.035    0.000 /usr/lib64/python3.9/gzip.py:376(seek)
    12585    0.035    0.000    0.035    0.000 {method 'fetchone' of 'sqlite3.Cursor' objects}
    17424    0.015    0.000    0.032    0.000 /usr/lib64/python3.9/gzip.py:69(write32u)
    27123    0.023    0.000    0.032    0.000 /usr/lib64/python3.9/genericpath.py:121(_splitext)
    17424    0.015    0.000    0.029    0.000 /usr/lib64/python3.9/posixpath.py:60(isabs)
    40656    0.027    0.000    0.027    0.000 {built-in method _struct.pack}
     5808    0.026    0.000    0.026    0.000 {built-in method zlib.compressobj}
   135610    0.026    0.000    0.026    0.000 {method 'startswith' of 'str' objects}
    43571    0.024    0.000    0.024    0.000 {method 'split' of 'str' objects}
   209094    0.023    0.000    0.023    0.000 {built-in method builtins.setattr}
   116120    0.021    0.000    0.021    0.000 /usr/lib64/python3.9/gzip.py:322(closed)
   151095    0.020    0.000    0.020    0.000 {built-in method posix.fspath}
   170709    0.019    0.000    0.019    0.000 {method 'append' of 'list' objects}
    12585    0.019    0.000    0.019    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
    23232    0.019    0.000    0.019    0.000 {method 'join' of 'bytes' objects}
    11616    0.019    0.000    0.019    0.000 /usr/lib64/python3.9/tarfile.py:794(get_info)
    11616    0.014    0.000    0.019    0.000 /usr/lib64/python3.9/tarfile.py:975(_create_payload)
    71688    0.017    0.000    0.017    0.000 {method 'rfind' of 'str' objects}
    11616    0.017    0.000    0.017    0.000 /usr/lib64/python3.9/tarfile.py:749(__init__)
    29057    0.016    0.000    0.016    0.000 {built-in method builtins.getattr}
    62/15    0.007    0.000    0.016    0.001 /usr/lib64/python3.9/os.py:344(_walk)
    71700    0.015    0.000    0.015    0.000 {method 'endswith' of 'str' objects}
    40656    0.014    0.000    0.014    0.000 /usr/lib64/python3.9/tarfile.py:2411(_check)
     5808    0.008    0.000    0.013    0.000 /usr/lib64/python3.9/gzip.py:231(_init_write)
    11616    0.008    0.000    0.012    0.000 /usr/lib64/python3.9/copyreg.py:94(__newobj__)
     6778    0.005    0.000    0.012    0.000 /usr/lib64/python3.9/codecs.py:319(decode)
     5809    0.006    0.000    0.012    0.000 /usr/lib64/python3.9/threading.py:351(notify)
    40656    0.010    0.000    0.010    0.000 {built-in method builtins.divmod}
     5810    0.005    0.000    0.009    0.000 /usr/lib64/python3.9/threading.py:256(__enter__)
    11616    0.007    0.000    0.009    0.000 /usr/lib64/python3.9/posixpath.py:131(splitdrive)
    34854    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
    17445    0.008    0.000    0.008    0.000 {method 'join' of 'str' objects}
     6783    0.004    0.000    0.008    0.000 /usr/lib64/python3.9/_bootlocale.py:33(getpreferredencoding)
     5810    0.008    0.000    0.008    0.000 {method 'update' of 'dict' objects}
     6778    0.007    0.000    0.007    0.000 {built-in method _codecs.utf_8_decode}
     5810    0.003    0.000    0.007    0.000 /usr/lib64/python3.9/threading.py:271(_is_owned)
    11616    0.007    0.000    0.007    0.000 {built-in method builtins.round}
    13598    0.006    0.000    0.006    0.000 {built-in method builtins.next}
     5809    0.004    0.000    0.006    0.000 /usr/lib64/python3.9/queue.py:213(_put)
     5808    0.003    0.000    0.005    0.000 /usr/lib64/python3.9/tarfile.py:2476(__enter__)
     5810    0.004    0.000    0.005    0.000 /usr/lib64/python3.9/threading.py:259(__exit__)
     5808    0.004    0.000    0.005    0.000 /usr/lib64/python3.9/tarfile.py:2480(__exit__)
     6778    0.003    0.000    0.005    0.000 /usr/lib64/python3.9/codecs.py:309(__init__)
    11616    0.005    0.000    0.005    0.000 /usr/lib64/python3.9/tarfile.py:2470(_dbg)
    11621    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x7f6561ce27c0}
     6783    0.004    0.000    0.004    0.000 {built-in method _locale.nl_langinfo}
    11616    0.004    0.000    0.004    0.000 /usr/lib64/python3.9/tarfile.py:1394(isreg)
     5810    0.004    0.000    0.004    0.000 {method '__enter__' of '_thread.lock' objects}
    17437    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     5814    0.004    0.000    0.004    0.000 {method 'acquire' of '_thread.lock' objects}
    11683    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
    11624    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
     5808    0.003    0.000    0.003    0.000 {method 'endswith' of 'bytes' objects}
     5808    0.003    0.000    0.003    0.000 {built-in method time.time}
    11616    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
    11616    0.003    0.000    0.003    0.000 {built-in method _stat.S_ISREG}
    11616    0.002    0.000    0.002    0.000 {method 'copy' of 'dict' objects}
     5808    0.002    0.000    0.002    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.002    0.002 /usr/lib64/python3.9/argparse.py:1693(__init__)
     6778    0.002    0.000    0.002    0.000 /usr/lib64/python3.9/codecs.py:260(__init__)
     6776    0.001    0.000    0.001    0.000 /usr/lib64/python3.9/codecs.py:331(getstate)
     5810    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
     5813    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        3    0.000    0.000    0.001    0.000 /usr/lib64/python3.9/gettext.py:741(gettext)
        3    0.000    0.000    0.001    0.000 /usr/lib64/python3.9/gettext.py:664(dgettext)
        3    0.000    0.000    0.001    0.000 /usr/lib64/python3.9/gettext.py:583(translation)
        3    0.000    0.000    0.001    0.000 /usr/lib64/python3.9/gettext.py:542(find)
    13586    0.001    0.000    0.001    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
        6    0.000    0.000    0.001    0.000 /usr/lib64/python3.9/gettext.py:211(_expand_lang)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1002(_find_and_load)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     5808    0.001    0.000    0.001    0.000 {method 'fileno' of '_io.FileIO' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:659(_load_unlocked)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:844(exec_module)
        5    0.000    0.000    0.001    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/lib/logger.py:9(log)
       10    0.000    0.000    0.001    0.000 /usr/lib64/python3.9/re.py:250(compile)
       10    0.000    0.000    0.001    0.000 /usr/lib64/python3.9/re.py:289(_compile)
        4    0.000    0.000    0.001    0.000 /usr/lib64/python3.9/sre_compile.py:783(compile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/locale.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:944(parse)
        1    0.000    0.000    0.000    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/lib/database.py:14(__init__)
      7/4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:436(_parse_sub)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1392(add_argument)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:916(get_code)
      8/5    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:494(_parse)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1310(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:622(_code)
        1    0.000    0.000    0.000    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/filter.py:59(__init__)
        1    0.000    0.000    0.000    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/filter.py:378(cleanup)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
