Num_Files,Compress Time 1, Compress Time 2, Compress Time 3, Non 1, Non 2, Non 3
1000,1.065,1.057,0.977,1.053,2.919,0.992
2000,10.137,9.894,9.863,2.631,2.211,2.114
3000,17.979,14.944,14.928,2.923,3.209,4.346
4000,19.735,20.916,20.313,4.778,4.087,4.621
